"Date","Price","Open","High","Low","Vol.","Change %"
"07-08-2024","5,813.20","5,816.55","6,022.00","5,685.35","95.30K","0.35%"
"08-08-2024","5,840.55","5,813.20","5,999.85","5,805.90","48.29K","0.47%"
"09-08-2024","5,851.20","5,840.55","5,950.45","5,833.00","17.82K","0.18%"
"12-08-2024","5,827.25","5,851.20","5,928.30","5,755.55","35.51K","-0.41%"
"13-08-2024","5,787.80","5,808.05","5,873.35","5,757.05","35.60K","-0.68%"
"14-08-2024","5,771.50","5,775.00","5,846.80","5,755.55","10.50K","-0.28%"
"16-08-2024","5,850.95","5,760.05","5,948.30","5,760.05","31.12K","1.38%"
"19-08-2024","5,858.20","5,900.00","5,970.95","5,846.00","76.64K","0.12%"
"20-08-2024","5,901.90","5,895.00","5,922.45","5,820.00","14.50K","0.75%"
"21-08-2024","5,975.40","5,870.25","6,073.75","5,870.25","52.02K","1.25%"
"22-08-2024","5,921.45","5,975.40","6,030.00","5,904.00","106.53K","-0.90%"
"23-08-2024","5,855.30","5,880.00","5,995.00","5,824.65","21.02K","-1.12%"
"26-08-2024","5,783.00","5,855.30","5,899.95","5,725.00","19.02K","-1.23%"
"27-08-2024","5,867.20","5,771.00","6,020.00","5,771.00","186.78K","1.46%"
"28-08-2024","5,959.00","5,906.70","6,000.05","5,840.70","123.47K","1.56%"
"29-08-2024","5,956.65","6,000.00","6,004.95","5,932.85","37.32K","-0.04%"
"30-08-2024","6,065.05","5,920.05","6,100.00","5,920.05","36.74K","1.82%"
"02-09-2024","6,318.30","6,100.00","6,451.15","6,080.00","100.87K","4.18%"
"03-09-2024","6,130.00","6,341.05","6,373.90","6,100.00","43.09K","-2.98%"
"04-09-2024","6,159.05","6,060.00","6,200.00","6,050.05","205.38K","0.47%"
"05-09-2024","6,147.75","6,228.00","6,270.40","6,100.05","123.74K","-0.18%"
"06-09-2024","6,164.20","6,174.45","6,300.00","6,130.00","156.72K","0.27%"
"09-09-2024","6,146.30","6,183.80","6,326.15","6,122.05","33.56K","-0.29%"
"10-09-2024","6,127.50","6,172.00","6,290.30","6,098.00","24.60K","-0.31%"
"11-09-2024","6,119.90","6,160.00","6,240.00","6,100.05","20.96K","-0.12%"
"12-09-2024","6,114.75","6,124.90","6,257.90","6,095.00","20.01K","-0.08%"
